city/county,state,date,positive_tests,total_tests
Chicago,Illinois,2020/05/03,412,1581
Chicago,Illinois,2021/05/01,437,6491
Chicago,Illinois,2020/06/17,302,6845
Chicago,Illinois,2020/12/05,1393,9137
Chicago,Illinois,2020/08/25,457,10356
Chicago,Illinois,2020/04/01,448,1489
Chicago,Illinois,2021/07/25,153,6836
Chicago,Illinois,2020/05/15,1161,6687
Chicago,Illinois,2020/09/11,433,8678
Chicago,Illinois,2020/11/14,1600,11148
Chicago,Illinois,2020/06/01,340,3336
Chicago,Illinois,2020/08/19,565,10531
Chicago,Illinois,2021/03/04,323,12704
Chicago,Illinois,2021/07/24,203,7759
Chicago,Illinois,2020/06/24,339,7987
Chicago,Illinois,2020/03/29,287,870
Chicago,Illinois,2020/07/26,119,2482
Chicago,Illinois,2021/03/30,776,16878
Chicago,Illinois,2022/01/07,5792,33990
Chicago,Illinois,2020/05/08,1052,5413
Chicago,Illinois,2020/09/10,401,8813
Chicago,Illinois,2021/12/15,3981,44288
Chicago,Illinois,2020/07/22,459,9458
Chicago,Illinois,2021/10/28,465,25734
Chicago,Illinois,2020/06/18,286,6323
Chicago,Illinois,2020/09/06,162,3389
Chicago,Illinois,2021/07/29,328,13316
Chicago,Illinois,2021/06/24,52,7724
Chicago,Illinois,2022/03/09,193,29861
Chicago,Illinois,2021/06/10,64,8157
Chicago,Illinois,2021/06/01,159,14560
Chicago,Illinois,2022/03/20,142,3885
Chicago,Illinois,2020/09/16,450,10175
Chicago,Illinois,2020/06/13,191,3367
Chicago,Illinois,2020/11/15,944,6614
Chicago,Illinois,2020/04/09,509,1729
Chicago,Illinois,2020/05/18,1151,7145
Chicago,Illinois,2021/07/16,166,9586
Chicago,Illinois,2020/07/25,181,4029
Chicago,Illinois,2020/11/21,1509,12418
Chicago,Illinois,2020/06/09,410,6933
Chicago,Illinois,2020/11/12,3305,21555
Chicago,Illinois,2021/06/02,134,11849
Chicago,Illinois,2021/08/23,660,18182
Chicago,Illinois,2022/03/07,215,32824
Chicago,Illinois,2021/06/19,36,4381
Chicago,Illinois,2021/01/15,1274,16753
Chicago,Illinois,2021/12/02,1293,33652
Chicago,Illinois,2020/06/25,313,7758
Chicago,Illinois,2021/06/18,43,6977
Chicago,Illinois,2021/03/28,382,5893
Chicago,Illinois,2020/11/06,3124,19364
Chicago,Illinois,2021/01/04,2055,20678
Chicago,Illinois,2020/06/28,137,2913
Chicago,Illinois,2020/08/24,645,11156
Chicago,Illinois,2020/09/23,448,11300
Chicago,Illinois,2021/12/18,3170,29200
Chicago,Illinois,2022/01/21,2109,38914
Chicago,Illinois,2021/05/18,352,13612
Chicago,Illinois,2020/05/26,966,8023
Chicago,Illinois,2021/03/29,793,18200
Chicago,Illinois,2020/08/21,527,8987
Chicago,Illinois,2020/03/31,459,1519
Chicago,Illinois,2021/03/25,731,13710
Chicago,Illinois,2021/07/01,46,6246
Chicago,Illinois,2021/09/06,256,6888
Chicago,Illinois,2021/12/04,762,14612
Chicago,Illinois,2021/02/10,410,13476
Chicago,Illinois,2021/11/28,613,12873
Chicago,Illinois,2021/03/15,421,16587
Chicago,Illinois,2020/03/06,3,16
Chicago,Illinois,2021/04/16,821,14714
Chicago,Illinois,2021/05/24,262,13702
Chicago,Illinois,2021/03/14,215,5266
Chicago,Illinois,2021/06/06,67,3821
Chicago,Illinois,2021/02/12,414,11945
Chicago,Illinois,2020/03/13,11,119
Chicago,Illinois,2020/03/05,1,13
Chicago,Illinois,2021/06/26,26,4760
Chicago,Illinois,2022/03/14,218,31939
Chicago,Illinois,2020/07/30,427,8319
Chicago,Illinois,2021/08/28,377,9782
Chicago,Illinois,2021/04/04,348,4501
Chicago,Illinois,2020/05/05,1198,5245
Chicago,Illinois,2020/09/30,503,12420
Chicago,Illinois,2022/02/12,293,6770
Chicago,Illinois,2020/08/10,481,9697
Chicago,Illinois,2022/01/05,7807,39472
Chicago,Illinois,2021/07/12,105,11104
Chicago,Illinois,2021/03/03,398,14390
Chicago,Illinois,2021/06/14,84,10587
Chicago,Illinois,2020/10/22,1397,15909
Chicago,Illinois,2021/06/17,47,7798
Chicago,Illinois,2021/03/10,370,14424
Chicago,Illinois,2020/11/11,2660,18252
Chicago,Illinois,2020/10/03,239,5325
Chicago,Illinois,2021/10/30,340,10580
Chicago,Illinois,2021/07/15,148,10603
Chicago,Illinois,2020/12/08,2323,20027
Chicago,Illinois,2020/09/22,401,11469
Chicago,Illinois,2020/09/24,472,10198
Chicago,Illinois,2021/11/29,1664,43586
Chicago,Illinois,2022/02/09,608,38265
Chicago,Illinois,2020/12/03,2251,17535
Chicago,Illinois,2022/01/28,979,21988
Chicago,Illinois,2021/10/15,403,23140
Chicago,Illinois,2020/05/24,340,2865
Chicago,Illinois,2020/07/17,380,9435
Chicago,Illinois,2020/07/04,75,1525
Chicago,Illinois,2021/06/30,53,9874
Chicago,Illinois,2020/03/10,9,56
Chicago,Illinois,2020/05/30,288,3164
Chicago,Illinois,2022/01/29,758,11258
Chicago,Illinois,2021/09/29,537,25611
Chicago,Illinois,2021/08/11,653,17010
Chicago,Illinois,2020/06/02,340,4310
Chicago,Illinois,2021/05/14,396,11613
Chicago,Illinois,2021/05/10,515,16740
Chicago,Illinois,2022/03/18,174,19257
Chicago,Illinois,2021/01/11,1557,20150
Chicago,Illinois,2020/10/18,371,4988
Chicago,Illinois,2021/10/06,460,26125
Chicago,Illinois,2020/03/30,429,1376
Chicago,Illinois,2021/08/30,611,18780
Chicago,Illinois,2020/11/18,2732,22366
Chicago,Illinois,2020/10/10,474,6031
Chicago,Illinois,2022/01/30,554,7772
Chicago,Illinois,2021/04/09,873,16162
Chicago,Illinois,2020/06/04,511,5499
Chicago,Illinois,2021/04/28,656,16361
Chicago,Illinois,2021/04/25,324,5285
Chicago,Illinois,2020/05/28,682,6049
Chicago,Illinois,2020/07/18,156,3893
Chicago,Illinois,2021/04/29,624,14034
Chicago,Illinois,2021/09/24,476,19824
Chicago,Illinois,2021/11/02,561,30780
Chicago,Illinois,2020/08/22,206,4009
Chicago,Illinois,2021/07/20,198,9888
Chicago,Illinois,2020/06/07,146,1984
Chicago,Illinois,2020/12/19,1009,10343
Chicago,Illinois,2021/07/07,94,9278
Chicago,Illinois,2021/04/06,946,18409
Chicago,Illinois,2020/09/19,185,4389
Chicago,Illinois,2020/09/15,414,10098
Chicago,Illinois,2021/04/27,677,16502
Chicago,Illinois,2021/01/20,1000,14986
Chicago,Illinois,2022/03/22,189,17781
Chicago,Illinois,2021/12/01,1423,37491
Chicago,Illinois,2021/12/19,2907,23512
Chicago,Illinois,2021/01/10,577,6184
Chicago,Illinois,2021/04/15,748,15187
Chicago,Illinois,2021/10/17,223,7569
Chicago,Illinois,2021/04/26,750,18912
Chicago,Illinois,2020/08/15,265,4884
Chicago,Illinois,2021/05/16,188,4859
